numero_departement;nom_commune;latitude;longitude
13;Cuges-les-Pins;43,283333;5,7
13;Gemenos;43,3;5,633333
13;La Ciotat;43,166667;5,6
13;La Penne-sur-Huveaune;43,283333;5,516667
13;Roquefort-la-Bedoule;43,25;5,616667
13;Allauch;43,333333;5,483333
13;Auriol;43,383333;5,633333
13;Belcodene;43,416667;5,583333
13;Bouc-Bel-Air;43,45;5,416667
13;Cabries;43,433333;5,383333
13;Cadolive;43,383333;5,55
13;Gardanne;43,45;5,466667
13;Greasque;43,433333;5,55
13;La Bouilladisse;43,4;5,583333
13;La Destrousse;43,366667;5,6
13;Les Pennes-Mirabeau;43,408333;5,316667
13;Mimet;43,416667;5,5
13;Peypin;43,383333;5,583333
13;Plan-de-Cuques;43,35;5,466667
13;Roquevaire;43,35;5,6
13;Saint-Savournin;43,4;5,533333
13;Septemes-les-Vallons;43,4;5,366667
13;Simiane-Collongue;43,416667;5,433333
13;Aix-en-Provence;43,533333;5,433333
13;Cornillon-Confoux;43,566667;5,066667
13;Coudoux;43,55;5,25
13;Eguilles;43,566667;5,366667
13;Grans;43,6;5,066667
13;La Fare-les-Oliviers;43,55;5,183333
13;Lancon-Provence;43,583333;5,133333
13;Meyreuil;43,483333;5,5
13;Salon-de-Provence;43,633333;5,1
13;Velaux;43,516667;5,266667
13;Ventabren;43,533333;5,3
13;Berre-l'Etang;43,466667;5,183333
13;Carry-le-Rouet;43,333333;5,15
13;Chateauneuf-les-Martigues;43,383333;5,166667
13;Ensues-la-Redonne;43,35;5,2
13;Gignac-la-Nerthe;43,391667;5,233333
13;Le Rove;43,366667;5,25
13;Marignane;43,416667;5,216667
13;Rognac;43,483333;5,233333
13;Saint-Chamas;43,55;5,033333
13;Saint-Victoret;43,416667;5,233333
13;Sausset-les-Pins;43,333333;5,116667
13;Vitrolles;43,466667;5,25
13;Fos-sur-Mer;43,433333;4,95
13;Istres;43,516667;4,983333
13;Martigues;43,4;5,05
13;Port-de-Bouc;43,4;4,983333
13;Saint-Mitre-les-Remparts;43,45;5,016667
13;Aix-en-Provence;43,533333;5,433333
13;Beaurecueil;43,5;5,55
13;Chateauneuf-le-Rouge;43,483333;5,566667
13;Fuveau;43,45;5,566667
13;Jouques;43,633333;5,633333
13;Le Puy-Sainte-Reparade;43,666667;5,433333
13;Le Tholonet;43,516667;5,516667
13;Meyrargues;43,633333;5,533333
13;Peynier;43,45;5,65
13;Peyrolles-en-Provence;43,65;5,583333
13;Puyloubier;43,516667;5,683333
13;Rousset;;
13;Saint-Antonin-sur-Bayon;43,516667;5,583333
13;Saint-Marc-Jaumegarde;43,55;5,516667
13;Saint-Paul-les-Durance;43,683333;5,7
13;Trets;43,45;5,683333
13;Vauvenargues;43,55;5,6
13;Venelles;43,6;5,483333
13;Alleins;43,7;5,166667
13;Aureille;43,7;4,95
13;Aurons;43,666667;5,15
13;Barbentane;43,9;4,75
13;Cabannes;43,866667;4,95
13;Charleval;43,716667;5,25
13;Chateaurenard;43,883333;4,85
13;Eygalieres;43,75;4,95
13;Eyguieres;43,7;5,033333
13;Eyragues;43,833333;4,833333
13;Graveson;43,85;4,766667
13;La Barben;43,633333;5,183333
13;Lamanon;43,7;5,083333
13;Lambesc;43,65;5,266667
13;La Roque-d'Antheron;43,716667;5,316667
13;Les Baux-de-Provence;43,75;4,8
13;Maillane;43,833333;4,783333
13;Mallemort;43,733333;5,183333
13;Maussane-les-Alpilles;;
13;Molleges;43,8;4,95
13;Mouries;43,683333;4,866667
13;Noves;43,866667;4,9
13;Orgon;43,783333;5,033333
13;Paradou;43,716667;4,783333
13;Pelissanne;43,633333;5,15
13;Plan-d'Orgon;43,8;5
13;Rognes;43,666667;5,35
13;Rognonas;43,9;4,8
13;Saint-Andiol;43,833333;4,95
13;Saint-Cannat;43,616667;5,3
13;Saint-Esteve-Janson;43,683333;5,383333
13;Saint-Remy-de-Provence;43,783333;4,833333
13;Senas;43,75;5,083333
13;Vernegues;43,683333;5,166667
13;Verquieres;43,833333;4,916667
13;Arles;43,666667;4,633333
13;Boulbon;43,866667;4,683333
13;Fontvieille;43,316667;5,483333
13;Mas-Blanc-des-Alpilles;43,79;4,76
13;Miramas;43,583333;5
13;Port-Saint-Louis-du-Rhone;43,383333;4,8
13;Saintes-Maries-de-la-Mer;43,45;4,425
13;Saint-Etienne-du-Gres;43,783333;4,716667
13;Saint-Martin-de-Crau;43,633333;4,816667
13;Saint-Pierre-de-Mezoargues;;
13;Tarascon;43,8;4,666667
83;Toulon;43,116667;5,933333
83;Toulon;43,116667;5,933333
83;Carqueiranne;43,083333;6,083333
83;Hyeres;43,116667;6,116667
83;La Crau;43,15;6,066667
83;La Garde;;
83;La Londe-les-Maures;43,133333;6,233333
83;La Valette-du-Var;43,133333;5,983333
83;Le Pradet;43,1;6,016667
83;Le Revest-les-Eaux;43,366667;6,566667
83;Aiguines;43,766667;6,25
83;Ampus;43,6;6,383333
83;Aups;43,616667;6,233333
83;Baudinard-sur-Verdon;;
83;Bauduen;43,733333;6,183333
83;Bormes-les-Mimosas;43,15;6,333333
83;Cavalaire-sur-Mer;43,166667;6,533333
83;Cogolin;43,25;6,533333
83;Collobrieres;43,233333;6,3
83;Draguignan;43,533333;6,466667
83;Flayosc;43,533333;6,4
83;Gassin;43,216667;6,583333
83;Grimaud;43,266667;6,516667
83;La Croix-Valmer;43,2;6,566667
83;La Garde-Freinet;43,316667;6,466667
83;La Mole;43,2;6,466667
83;La Motte;43,483333;6,516667
83;Le Cannet-des-Maures;43,4;6,35
83;Le Lavandou;43,133333;6,366667
83;Le Luc;43,383333;6,316667
83;Les Arcs;43,45;6,483333
83;Les Mayons;43,316667;6,366667
83;Les Salles-sur-Verdon;43,766667;6,2
83;Le Thoronet;43,45;6,3
83;Lorgues;43,483333;6,366667
83;Plan-de-la-Tour;43,333333;6,55
83;Ramatuelle;43,216667;6,616667
83;Rayol-Canadel-sur-Mer;;
83;Sainte-Maxime;43,3;6,633333
83;Saint-Tropez;43,266667;6,633333
83;Taradeau;43,45;6,433333
83;Trans-en-Provence;43,5;6,483333
83;Verignon;43,65;6,266667
83;Vidauban;43,416667;6,433333
83;Bagnols-en-Foret;43,533333;6,7
83;Bargeme;43,733333;6,566667
83;Bargemon;43,616667;6,533333
83;Brenon;43,766667;6,55
83;Callas;43,583333;6,533333
83;Callian;43,633333;6,75
83;Chateaudouble;43,583333;6,45
83;Chateauvieux;43,775;6,575
83;Claviers;43,6;6,566667
83;Comps-sur-Artuby;43,716667;6,5
83;Fayence;43,616667;6,683333
83;Figanieres;43,566667;6,5
83;Frejus;43,43;6,74
83;La Bastide;43,733333;6,616667
83;La Martre;43,766667;6,6
83;La Roque-Esclapon;43,716667;6,633333
83;Le Bourguet;43,783333;6,516667
83;Le Muy;43,466667;6,55
83;Les Adrets-de-l'Esterel;;
83;Mons;43,683333;6,716667
83;Montauroux;43,616667;6,766667
83;Montferrat;43,616667;6,483333
83;Puget-sur-Argens;43,45;6,683333
83;Roquebrune-sur-Argens;43,433333;6,633333
83;Saint-Paul-en-Foret;43,566667;6,683333
83;Saint-Raphael;43,416667;6,766667
83;Seillans;43,633333;6,633333
83;Tanneron;43,583333;6,883333
83;Tourrettes;;
83;Trigance;43,766667;6,45
83;Artignosc-sur-Verdon;43,7;6,1
83;Artigues;43,6;5,8
83;Barjols;43,55;6
83;Belgentier;43,25;6
83;Besse-sur-Issole;43,35;6,166667
83;Bras;43,466667;5,95
83;Brignoles;43,4;6,066667
